fecha,letra,total_cif
2010-11-01,Z,3271175
2010-12-01,A,30353276
2010-12-01,B,110819088
2010-12-01,C,3029836032
2010-12-01,D,52172652
2010-12-01,E,339282
2010-12-01,F,55016748
2010-12-01,G,1388311168
2010-12-01,H,81226368
2010-12-01,I,3155421
2010-12-01,J,125285904
2010-12-01,K,16291088
2010-12-01,L,7390795
2010-12-01,M,12309131
2010-12-01,N,48893188
2010-12-01,P,286824
2010-12-01,Q,5276926
2010-12-01,R,1303296
2010-12-01,S,5826406
2010-12-01,Z,4399480
2011-01-01,A,23089382
2011-01-01,B,96177368
2011-01-01,C,2862132992
2011-01-01,D,116035096
2011-01-01,E,202482
2011-01-01,F,55681532
2011-01-01,G,1244087680
2011-01-01,H,20596324
2011-01-01,I,2462932
2011-01-01,J,111739440
2011-01-01,K,32483692
2011-01-01,L,5362361
2011-01-01,M,15931249
2011-01-01,N,17444388
2011-01-01,P,200903
2011-01-01,Q,7263455
2011-01-01,R,4729741
2011-01-01,S,11267411
2011-01-01,Z,5703490
2011-02-01,A,17518096
2011-02-01,B,85528352
2011-02-01,C,2714580480
2011-02-01,D,60836644
2011-02-01,E,389261
2011-02-01,F,47242564
2011-02-01,G,1220020096
2011-02-01,H,82494256
2011-02-01,I,3821196
2011-02-01,J,148540736
2011-02-01,K,26694280
2011-02-01,L,4446834
2011-02-01,M,14114422
2011-02-01,N,60003264
2011-02-01,P,225522
2011-02-01,Q,4979431
2011-02-01,R,1970608
2011-02-01,S,6279195
2011-02-01,Z,3633547
2011-03-01,A,18439196
2011-03-01,B,146930416
2011-03-01,C,3313519360
2011-03-01,D,35603528
2011-03-01,E,530094
2011-03-01,F,50687160
2011-03-01,G,1343609472
2011-03-01,H,95226144
2011-03-01,I,3968523
2011-03-01,J,148187488
2011-03-01,K,40751872
2011-03-01,L,5961997
2011-03-01,M,12898816
2011-03-01,N,241543504
2011-03-01,P,268282
2011-03-01,Q,6211217
2011-03-01,R,1950112
2011-03-01,S,5455967
2011-03-01,Z,4812269
2011-04-01,A,12927873
2011-04-01,B,117093200
2011-04-01,C,3214707712
2011-04-01,D,73265368
2011-04-01,E,815449
2011-04-01,F,56287512
2011-04-01,G,1338151040
2011-04-01,H,107888696
2011-04-01,I,1767782
2011-04-01,J,90903280
2011-04-01,K,38342224
2011-04-01,L,6243851
2011-04-01,M,17859548
2011-04-01,N,251323872
2011-04-01,P,344996
2011-04-01,Q,5483915
2011-04-01,R,1232235
2011-04-01,S,3986707
2011-04-01,Z,1978639
2011-05-01,A,14567643
2011-05-01,B,101383032
2011-05-01,C,3604907776
2011-05-01,D,64442992
2011-05-01,E,214513
2011-05-01,F,63900976
2011-05-01,G,1342145920
2011-05-01,H,58841124
2011-05-01,I,3415158
2011-05-01,J,109621832
2011-05-01,K,9428311
2011-05-01,L,4477542
2011-05-01,M,20736076
2011-05-01,N,504092000
2011-05-01,P,340041
2011-05-01,Q,5308189
2011-05-01,R,376426
2011-05-01,S,8694535
2011-05-01,Z,1849674
2011-06-01,A,13423155
2011-06-01,B,104405480
2011-06-01,C,3520779008
2011-06-01,D,80403680
2011-06-01,E,1127880
2011-06-01,F,33017426
2011-06-01,G,1375562880
2011-06-01,H,23676584
2011-06-01,I,4836003
2011-06-01,J,97289296
2011-06-01,K,13085355
2011-06-01,L,3533974
2011-06-01,M,15480494
2011-06-01,N,756215552
