fecha,letra,total_fob
2010-04-01,A,126910264
2010-04-01,B,559078208
2010-04-01,C,4303288320
2010-04-01,D,7515777
2010-04-01,E,1074559
2010-04-01,F,3749104
2010-04-01,G,788245888
2010-04-01,H,120782488
2010-04-01,I,111738
2010-04-01,J,4055483
2010-04-01,K,-99
2010-04-01,L,6084748
2010-04-01,M,5442047
2010-04-01,N,15084066
2010-04-01,P,-99
2010-04-01,Q,316287
2010-04-01,R,185906
2010-04-01,S,2296041
2010-04-01,Z,10783866
2010-05-01,A,149774256
2010-05-01,B,636435136
2010-05-01,C,4422616576
2010-05-01,D,6949269
2010-05-01,E,673671
2010-05-01,F,6936771
2010-05-01,G,938177280
2010-05-01,H,64568836
2010-05-01,I,84142
2010-05-01,J,4135904
2010-05-01,K,-99
2010-05-01,L,8837053
2010-05-01,M,6786853
2010-05-01,N,25173070
2010-05-01,P,222677
2010-05-01,Q,638322
2010-05-01,R,8294027
2010-05-01,S,2568189
2010-05-01,Z,16040039
2010-06-01,A,180041968
2010-06-01,B,498220512
2010-06-01,C,4258799872
2010-06-01,D,-99
2010-06-01,E,884307
2010-06-01,F,3996603
2010-06-01,G,1098095488
2010-06-01,H,28763234
2010-06-01,I,309029
2010-06-01,J,6402330
2010-06-01,K,-99
2010-06-01,L,5438247
2010-06-01,M,6600188
2010-06-01,N,16793424
2010-06-01,P,17758
2010-06-01,Q,549018
2010-06-01,R,905517
2010-06-01,S,1830796
2010-06-01,Z,4905895
2010-07-01,A,145959936
2010-07-01,B,475079488
2010-07-01,C,4249342208
2010-07-01,D,-99
2010-07-01,E,645086
2010-07-01,F,5044326
2010-07-01,G,885500352
2010-07-01,H,22411252
2010-07-01,I,166895
2010-07-01,J,5863975
2010-07-01,K,1043278
2010-07-01,L,3091722
2010-07-01,M,5962196
2010-07-01,N,11837654
2010-07-01,P,74786
2010-07-01,Q,609060
2010-07-01,R,298716
2010-07-01,S,1238275
2010-07-01,Z,9840745
2010-08-01,A,174330384
2010-08-01,B,524078208
2010-08-01,C,4415184384
2010-08-01,D,11475214
2010-08-01,E,205683
2010-08-01,F,8818926
2010-08-01,G,983387840
2010-08-01,H,12238712
2010-08-01,I,140098
2010-08-01,J,4977752
2010-08-01,K,1953390
2010-08-01,L,4301259
2010-08-01,M,8187152
2010-08-01,N,17133860
2010-08-01,P,-99
2010-08-01,Q,626194
2010-08-01,R,108554
2010-08-01,S,1684385
2010-08-01,Z,2235258
2010-09-01,A,165837648
2010-09-01,B,696462016
2010-09-01,C,4427046912
2010-09-01,D,867457
2010-09-01,E,1099515
2010-09-01,F,13994779
2010-09-01,G,698036032
2010-09-01,H,172997904
2010-09-01,I,278935
2010-09-01,J,5495888
2010-09-01,K,-99
2010-09-01,L,3095333
2010-09-01,M,6618349
2010-09-01,N,17760818
2010-09-01,P,56174
2010-09-01,Q,508912
2010-09-01,R,294868
2010-09-01,S,1665757
2010-09-01,Z,1215188
2010-10-01,A,160077872
2010-10-01,B,632168192
2010-10-01,C,4193063936
2010-10-01,D,2601954
2010-10-01,E,836230
2010-10-01,F,8412189
2010-10-01,G,634121088
2010-10-01,H,165325840
2010-10-01,I,185978
2010-10-01,J,4388907
2010-10-01,K,-99
2010-10-01,L,3556156
2010-10-01,M,6300010
2010-10-01,N,6327420
2010-10-01,P,64245
2010-10-01,Q,395890
2010-10-01,R,1569536
2010-10-01,S,1338983
2010-10-01,Z,702376
2010-11-01,A,158754928
2010-11-01,B,838454656
2010-11-01,C,4074394368
2010-11-01,D,16800308
2010-11-01,E,868140
2010-11-01,F,12192425
2010-11-01,G,476658528
2010-11-01,H,17564048
2010-11-01,I,118336
2010-11-01,J,5364386
2010-11-01,K,-99
2010-11-01,L,5265954
2010-11-01,M,4497627
2010-11-01,N,9050619
2010-11-01,P,695651
2010-11-01,Q,381216
2010-11-01,R,110757
2010-11-01,S,1820740
2010-11-01,Z,1006182
2010-12-01,A,138449280
2010-12-01,B,588099648
2010-12-01,C,3832231680
2010-12-01,D,8230197
2010-12-01,E,1188621
2010-12-01,F,12085791
2010-12-01,G,486492544
2010-12-01,H,55241384
2010-12-01,I,83290
2010-12-01,J,6389523
2010-12-01,K,-99
2010-12-01,L,3506518
2010-12-01,M,5983719
2010-12-01,N,6092800
2010-12-01,P,68210
2010-12-01,Q,452833
2010-12-01,R,259372
2010-12-01,S,2407253
2010-12-01,Z,2859922
2011-01-01,A,131661280
2011-01-01,B,477562048
2011-01-01,C,3631138304
2011-01-01,D,4252971
2011-01-01,E,802980
2011-01-01,F,12544761
2011-01-01,G,558535488
2011-01-01,H,43996840
2011-01-01,I,83248
2011-01-01,J,4704692
2011-01-01,K,3565228
2011-01-01,L,3271428
2011-01-01,M,7576899
2011-01-01,N,9850484
2011-01-01,P,-99
2011-01-01,Q,374122
2011-01-01,R,30565
2011-01-01,S,2178397
2011-01-01,Z,3446687
2011-02-01,A,191098592
2011-02-01,B,546123456
2011-02-01,C,3716362496
2011-02-01,D,233588
2011-02-01,E,903657
2011-02-01,F,8218008
2011-02-01,G,571050496
2011-02-01,H,99716192
2011-02-01,I,91108
2011-02-01,J,6428580
2011-02-01,K,-99
2011-02-01,L,4770176
2011-02-01,M,4428335
2011-02-01,N,8685765
2011-02-01,P,-99
2011-02-01,Q,398550
2011-02-01,R,29735
2011-02-01,S,1527388
2011-02-01,Z,2661406
2011-03-01,A,225039600
2011-03-01,B,687084672
2011-03-01,C,3994717696
2011-03-01,D,4259911
2011-03-01,E,680673
2011-03-01,F,12325089
2011-03-01,G,772134016
2011-03-01,H,35408904
2011-03-01,I,88852
2011-03-01,J,5117114
2011-03-01,K,-99
2011-03-01,L,7815584
2011-03-01,M,5274309
2011-03-01,N,8711511
2011-03-01,P,-99
2011-03-01,Q,1290645
2011-03-01,R,139474
2011-03-01,S,2112218
2011-03-01,Z,2282771
2011-04-01,A,163078256
2011-04-01,B,543953216
2011-04-01,C,4940693504
2011-04-01,D,3461214
2011-04-01,E,851990
2011-04-01,F,15780027
2011-04-01,G,931326400
2011-04-01,H,123445888
2011-04-01,I,127034
2011-04-01,J,4245219
2011-04-01,K,-99
2011-04-01,L,9278202
2011-04-01,M,3336605
2011-04-01,N,12285741
2011-04-01,P,53479
2011-04-01,Q,384014
2011-04-01,R,-99
2011-04-01,S,2027788
2011-04-01,Z,3485594
2011-05-01,A,176821744
2011-05-01,B,391816672
2011-05-01,C,5616830464
2011-05-01,D,2982711
2011-05-01,E,283418
2011-05-01,F,9067202
2011-05-01,G,1353176960
2011-05-01,H,38537756
2011-05-01,I,726498
2011-05-01,J,4576292
2011-05-01,K,890586
2011-05-01,L,5880004
2011-05-01,M,6505750
2011-05-01,N,12126276
2011-05-01,P,-99
2011-05-01,Q,300351
2011-05-01,R,113880
2011-05-01,S,1562305
2011-05-01,Z,2984806
2011-06-01,A,126493520
2011-06-01,B,631766208
2011-06-01,C,5490872832
2011-06-01,D,1243525
2011-06-01,E,386924
2011-06-01,F,18426964
2011-06-01,G,1320973568
2011-06-01,H,12363885
2011-06-01,I,301556
2011-06-01,J,5881580
2011-06-01,K,-99
2011-06-01,L,10465932
2011-06-01,M,4461647
2011-06-01,N,13328807
2011-06-01,P,51694
2011-06-01,Q,936660
2011-06-01,R,215149
2011-06-01,S,1181643
2011-06-01,Z,3265967
2011-07-01,A,215558960
2011-07-01,B,672668736
2011-07-01,C,4844170752
2011-07-01,D,-99
2011-07-01,E,294011
2011-07-01,F,13517412
2011-07-01,G,1141120512
2011-07-01,H,21295808
2011-07-01,I,243567
2011-07-01,J,5314792
2011-07-01,K,-99
2011-07-01,L,4234605
2011-07-01,M,10789167
2011-07-01,N,12954121
2011-07-01,P,78478
2011-07-01,Q,479361
2011-07-01,R,49170
2011-07-01,S,1825812
2011-07-01,Z,1403451
2011-08-01,A,226717760
2011-08-01,B,642071872
2011-08-01,C,5490836992
2011-08-01,D,11372162
2011-08-01,E,458276
2011-08-01,F,9671126
2011-08-01,G,1373087616
2011-08-01,H,131544704
2011-08-01,I,195630
2011-08-01,J,4432652
2011-08-01,K,-99
2011-08-01,L,5066528
2011-08-01,M,10598554
2011-08-01,N,23539236
2011-08-01,P,48182
2011-08-01,Q,614201
2011-08-01,R,37864
2011-08-01,S,1027119
2011-08-01,Z,613270
2011-09-01,A,193709344
2011-09-01,B,739882368
2011-09-01,C,5103491072
2011-09-01,D,532436
2011-09-01,E,523701
2011-09-01,F,12130850
2011-09-01,G,1340148608
2011-09-01,H,16660008
2011-09-01,I,101550
2011-09-01,J,5177902
2011-09-01,K,-99
2011-09-01,L,6642025
2011-09-01,M,7150101
2011-09-01,N,33672928
2011-09-01,P,-99
2011-09-01,Q,546083
2011-09-01,R,309187
2011-09-01,S,696103
