fecha,clae6,total_cif
2007-02-01,170910,16332434
2007-02-01,170990,9405020
2007-02-01,181101,4908771
2007-02-01,181109,6840253
2007-02-01,181200,1129534
2007-02-01,182000,-99
2007-02-01,192000,24500640
2007-02-01,201110,2088056
2007-02-01,201120,629216
2007-02-01,201130,3406520
2007-02-01,201180,2004368
2007-02-01,201190,3703065
2007-02-01,201210,-99
2007-02-01,201220,-99
2007-02-01,201300,671716
2007-02-01,201401,15600409
2007-02-01,201409,2080214
2007-02-01,202101,47832612
2007-02-01,202200,10416839
2007-02-01,202311,1053179
2007-02-01,202312,9583046
2007-02-01,202320,6569476
2007-02-01,202906,3949308
2007-02-01,202907,4377362
2007-02-01,202908,63493788
2007-02-01,203000,-99
2007-02-01,204000,-99
2007-02-01,210010,54276100
2007-02-01,210020,1289494
2007-02-01,210030,1515473
2007-02-01,210090,1034648
2007-02-01,221110,22919048
2007-02-01,221120,198167
2007-02-01,221901,989442
2007-02-01,221909,1958965
2007-02-01,222010,15650294
2007-02-01,222090,45064292
2007-02-01,231010,2425802
2007-02-01,231020,2524029
2007-02-01,231090,828432
2007-02-01,239100,325542
2007-02-01,239201,284632
2007-02-01,239202,2633042
2007-02-01,239209,687738
2007-02-01,239310,749900
2007-02-01,239399,47358
2007-02-01,239410,2149471
2007-02-01,239421,-99
2007-02-01,239422,-99
2007-02-01,239510,-99
2007-02-01,239592,-99
2007-02-01,239593,792013
2007-02-01,239600,955256
2007-02-01,239900,1762706
2007-02-01,241001,7976707
2007-02-01,241009,118962960
2007-02-01,242010,22016284
2007-02-01,242090,4258708
2007-02-01,243100,2146475
2007-02-01,243200,1467344
2007-02-01,251101,238638
2007-02-01,251102,445137
2007-02-01,251200,1040301
2007-02-01,252000,125247
2007-02-01,259100,3748842
2007-02-01,259200,707275
2007-02-01,259301,1033786
2007-02-01,259302,79671
2007-02-01,259309,392844
2007-02-01,259910,6274214
2007-02-01,259991,-99
2007-02-01,259992,-99
2007-02-01,259993,2103073
2007-02-01,259999,13916224
2007-02-01,261000,238494
2007-02-01,262000,14154056
2007-02-01,263000,5537053
2007-02-01,264000,26983200
2007-02-01,265101,1929061
2007-02-01,265102,296319
2007-02-01,266010,270278
2007-02-01,266090,1414235
2007-02-01,267001,537999
2007-02-01,268000,-99
2007-02-01,271010,3489894
2007-02-01,271020,3471521
2007-02-01,272000,1684249
2007-02-01,273110,981960
2007-02-01,273190,9915485
2007-02-01,274000,1130129
2007-02-01,275010,1339941
2007-02-01,275020,8379271
2007-02-01,275091,134412
2007-02-01,275092,466759
2007-02-01,275099,1761181
2007-02-01,279000,2494867
2007-02-01,281100,19867980
2007-02-01,281201,4088360
2007-02-01,281301,5470276
2007-02-01,281400,2818908
2007-02-01,281500,-99
2007-02-01,281600,1581303
2007-02-01,281700,-99
2007-02-01,281900,3080704
2007-02-01,282110,10021836
2007-02-01,282120,7231530
2007-02-01,282130,-99
2007-02-01,282200,376022
2007-02-01,282300,320178
2007-02-01,282400,1274552
2007-02-01,282500,1357250
2007-02-01,282600,320967
2007-02-01,282901,541547
2007-02-01,282909,3926989
2007-02-01,291000,530548288
2007-02-01,292000,2360648
2007-02-01,293011,-99
2007-02-01,293090,83035008
2007-02-01,301100,676125
2007-02-01,301200,602362
2007-02-01,302000,263477
2007-02-01,303000,463087
2007-02-01,309100,10342908
2007-02-01,309200,1320314
2007-02-01,309900,39749
2007-02-01,310010,2019170
2007-02-01,310020,587350
2007-02-01,310030,974490
2007-02-01,321011,-99
2007-02-01,321020,-99
2007-02-01,322001,-99
2007-02-01,323001,614079
2007-02-01,324000,134138
2007-02-01,329010,-99
2007-02-01,329020,198816
2007-02-01,329040,48284
2007-02-01,329090,2786601
2007-02-01,331101,-99
2007-02-01,331210,12168318
2007-02-01,331220,-99
2007-02-01,331290,3099433
2007-02-01,331301,68528
2007-02-01,331400,18598
2007-02-01,331900,300939
2007-02-01,332000,71373
2007-02-01,351110,8226772
2007-02-01,351130,3472537
2007-02-01,351190,-99
2007-02-01,351201,-99
2007-02-01,351320,287280
2007-02-01,352020,61845
2007-02-01,360020,-99
2007-02-01,370000,43996
2007-02-01,381100,218801
2007-02-01,381200,-99
2007-02-01,382010,-99
2007-02-01,382020,413511
2007-02-01,410011,594972
2007-02-01,410021,1001362
2007-02-01,421000,1430842
2007-02-01,422100,-99
2007-02-01,422200,5301676
2007-02-01,429010,800450
2007-02-01,429090,5741606
2007-02-01,431220,-99
2007-02-01,432110,-99
2007-02-01,432190,959887
2007-02-01,432200,93100
2007-02-01,432910,980703
2007-02-01,432920,35233
2007-02-01,432990,2187908
2007-02-01,433020,-99
2007-02-01,433040,-99
2007-02-01,439100,-99
2007-02-01,439910,399228
2007-02-01,439990,569198
2007-02-01,451110,11768405
2007-02-01,451190,4028035
2007-02-01,451210,-99
2007-02-01,451290,-99
2007-02-01,452210,-99
2007-02-01,452300,-99
2007-02-01,452401,11567
2007-02-01,452600,-99
2007-02-01,452700,-99
