fecha,clae2,total_cif
2007-10-01,81,71398
2007-10-01,82,22204438
2007-10-01,85,50983
2007-10-01,86,2698483
2007-10-01,87,-99
2007-10-01,90,91159
2007-10-01,91,-99
2007-10-01,92,3802924
2007-10-01,93,157951
2007-10-01,94,876052
2007-10-01,95,1435475
2007-10-01,96,1324366
2007-10-01,999,5161593
2007-11-01,1,16510348
2007-11-01,2,236786
2007-11-01,3,2968000
2007-11-01,5,-99
2007-11-01,6,147513936
2007-11-01,7,26158396
2007-11-01,8,4113989
2007-11-01,9,26709510
2007-11-01,10,182585216
2007-11-01,11,23765576
2007-11-01,12,6084251
2007-11-01,13,72544728
2007-11-01,14,11292160
2007-11-01,15,27259488
2007-11-01,16,11028748
2007-11-01,17,80609168
2007-11-01,18,16285791
2007-11-01,19,22229056
2007-11-01,20,266655280
2007-11-01,21,78928392
2007-11-01,22,128804632
2007-11-01,23,28923712
2007-11-01,24,166328624
2007-11-01,25,50480260
2007-11-01,26,108119608
2007-11-01,27,87397544
2007-11-01,28,109689128
2007-11-01,29,895017280
2007-11-01,30,27000484
2007-11-01,31,6043517
2007-11-01,32,8912406
2007-11-01,33,17665118
2007-11-01,35,65353168
2007-11-01,36,-99
2007-11-01,37,-99
2007-11-01,38,1419851
2007-11-01,39,-99
2007-11-01,41,2249577
2007-11-01,42,11526637
2007-11-01,43,7478084
2007-11-01,45,118859672
2007-11-01,46,866418240
2007-11-01,47,127779392
2007-11-01,49,22508106
2007-11-01,50,366243
2007-11-01,51,112927184
2007-11-01,52,15353977
2007-11-01,53,77446
2007-11-01,55,423302
2007-11-01,56,1737832
2007-11-01,58,8180210
2007-11-01,59,788075
2007-11-01,60,11061464
2007-11-01,61,153990096
2007-11-01,62,12962423
2007-11-01,63,842311
2007-11-01,64,32483148
2007-11-01,66,-99
2007-11-01,68,11026002
2007-11-01,69,21716
2007-11-01,70,7593628
2007-11-01,71,6512228
2007-11-01,72,2264765
2007-11-01,73,1927426
2007-11-01,74,221722
2007-11-01,75,-99
2007-11-01,77,5561980
2007-11-01,78,-99
2007-11-01,79,116549
2007-11-01,80,716390
2007-11-01,81,48509
2007-11-01,82,22473828
2007-11-01,85,60860
2007-11-01,86,5404745
2007-11-01,90,225458
2007-11-01,92,2685744
2007-11-01,93,301528
2007-11-01,94,1973886
2007-11-01,95,3140026
2007-11-01,96,1448627
2007-11-01,999,4423825
2007-12-01,1,11044026
2007-12-01,2,-99
2007-12-01,3,4494113
2007-12-01,5,-99
2007-12-01,6,113639456
2007-12-01,7,12913806
2007-12-01,8,2790723
2007-12-01,9,53253628
2007-12-01,10,182706256
2007-12-01,11,19942932
2007-12-01,12,7640070
2007-12-01,13,68480568
2007-12-01,14,7568538
2007-12-01,15,18625716
2007-12-01,16,9333647
2007-12-01,17,78981424
2007-12-01,18,17173644
2007-12-01,19,20402976
2007-12-01,20,226056384
2007-12-01,21,62717152
2007-12-01,22,119212320
2007-12-01,23,20973752
2007-12-01,24,182388432
2007-12-01,25,42845432
2007-12-01,26,76812912
2007-12-01,27,65385080
2007-12-01,28,102033568
2007-12-01,29,805950336
2007-12-01,30,24962594
2007-12-01,31,5388549
2007-12-01,32,8868102
2007-12-01,33,13070421
2007-12-01,35,19903070
2007-12-01,36,27130
2007-12-01,37,-99
2007-12-01,38,1440455
2007-12-01,39,-99
2007-12-01,41,2460240
2007-12-01,42,14420527
2007-12-01,43,11449492
2007-12-01,45,100226608
2007-12-01,46,738160640
2007-12-01,47,111750408
2007-12-01,49,13510549
2007-12-01,50,6708676
2007-12-01,51,211104080
2007-12-01,52,16118094
2007-12-01,53,22692
2007-12-01,55,272017
2007-12-01,56,1946274
2007-12-01,58,7690687
2007-12-01,59,440236
2007-12-01,60,8002295
2007-12-01,61,140836992
2007-12-01,62,21477330
2007-12-01,63,771521
2007-12-01,64,7734720
2007-12-01,65,-99
2007-12-01,66,503442
2007-12-01,68,8504000
2007-12-01,69,102488
2007-12-01,70,7792215
2007-12-01,71,2745900
2007-12-01,72,2203460
2007-12-01,73,1310383
2007-12-01,74,23782
2007-12-01,75,31420
2007-12-01,77,4444448
2007-12-01,79,14437
2007-12-01,80,497236
2007-12-01,81,-99
2007-12-01,82,13506751
2007-12-01,85,177677
2007-12-01,86,1904940
2007-12-01,90,-99
2007-12-01,91,81837
2007-12-01,92,1503875
2007-12-01,93,1101329
2007-12-01,94,1054680
2007-12-01,95,2091482
2007-12-01,96,3651462
2007-12-01,999,4171452
2008-01-01,1,14553885
2008-01-01,2,138010
2008-01-01,3,2925179
2008-01-01,5,-99
2008-01-01,6,74577080
2008-01-01,7,19108922
2008-01-01,8,5065243
2008-01-01,9,44022008
2008-01-01,10,231312144
2008-01-01,11,25872888
2008-01-01,12,10059708
2008-01-01,13,76723896
2008-01-01,14,9219019
2008-01-01,15,20722436
2008-01-01,16,11208378
2008-01-01,17,85573328
2008-01-01,18,21539248
2008-01-01,19,19555640
2008-01-01,20,293954080
2008-01-01,21,79565584
2008-01-01,22,136158048
2008-01-01,23,45786408
2008-01-01,24,273351712
2008-01-01,25,55046192
2008-01-01,26,70905584
2008-01-01,27,66136424
2008-01-01,28,112163592
2008-01-01,29,847337088
2008-01-01,30,27018660
2008-01-01,31,4642123
2008-01-01,32,7682487
2008-01-01,33,17526728
2008-01-01,35,88510784
2008-01-01,36,-99
2008-01-01,37,-99
